name,team,bye,CBSprojected,pos,ESPNprojected,NFLprojected,YAHOOprojected
K.J. Osborn,MIN,7,8.3,WR,8.3,8.3,11.3
Justin Watson,TB,13,7.5,WR,7.5,7.5,10.5
Travis Kelce,KC,10,155.5,TE,155.5,155.5,201.5
George Kittle,SF,11,146.0,TE,146.0,146.0,188.5
Zach Ertz,PHI,9,127.5,TE,127.5,127.5,168.0
Mark Andrews,BAL,7,118.7,TE,118.7,118.7,153.4
Darren Waller,LV,6,115.9,TE,115.9,115.9,148.7
Hayden Hurst,ATL,10,105.2,TE,105.2,105.2,137.2
Chris Herndon,NYJ,10,94.9,TE,94.9,94.9,122.6
Rob Gronkowski,TB,13,94.7,TE,94.7,94.7,122.4
Evan Engram,NYG,11,94.1,TE,94.1,94.1,121.5
Noah Fant,DEN,5,91.6,TE,91.6,91.6,117.9
Tyler Higbee,LAR,9,91.5,TE,91.5,91.5,116.7
Jared Cook,NO,6,90.8,TE,90.8,90.8,116.6
Jonnu Smith,TEN,4,89.3,TE,89.3,89.3,115.8
Mike Gesicki,MIA,7,86.9,TE,86.9,86.9,114.3
Hunter Henry,LAC,6,83.6,TE,83.6,83.6,110.1
T.J. Hockenson,DET,5,81.5,TE,81.5,81.5,108.5
Austin Hooper,CLE,9,80.5,TE,80.5,80.5,107.4
Dallas Goedert,PHI,9,79.6,TE,79.6,79.6,107.0
Jack Doyle,IND,7,77.4,TE,77.4,77.4,106.1
Blake Jarwin,DAL,10,76.2,TE,76.2,76.2,98.2
Greg Olsen,SEA,6,74.5,TE,74.5,74.5,98.0
Eric Ebron,PIT,4,72.2,TE,72.2,72.2,94.7
Ian Thomas,CAR,13,70.6,TE,70.6,70.6,94.1
Darren Fells,HOU,8,68.5,TE,68.5,68.5,87.5
Dawson Knox,BUF,11,67.9,TE,67.9,67.9,85.9
Tyler Eifert,JAC,8,63.5,TE,63.5,63.5,85.0
Kyle Rudolph,MIN,7,63.1,TE,63.1,63.1,84.6
Irv Smith,MIN,7,56.9,TE,56.9,56.9,75.9
O.J. Howard,TB,13,54.8,TE,54.8,54.8,72.3
Nick Boyle,BAL,7,53.5,TE,53.5,53.5,68.5
Jimmy Graham,CHI,11,48.5,TE,48.5,48.5,68.0
David Njoku,CLE,9,47.7,TE,47.7,47.7,65.0
C.J. Uzomah,CIN,9,47.5,TE,47.5,47.5,64.0
Jordan Reed,SF,11,47.5,TE,47.5,47.5,63.7
Logan Thomas,WAS,8,46.9,TE,46.9,46.9,62.0
Jace Sternberger,GB,5,46.5,TE,46.5,46.5,61.5
Gerald Everett,LAR,9,46.5,TE,46.5,46.5,61.4
Will Dissly,SEA,6,40.9,TE,40.9,40.9,55.4
Devin Asiasi,NE,5,40.9,TE,40.9,40.9,55.4
Vance McDonald,PIT,4,40.8,TE,40.8,40.8,55.3
Robert Tonyan,GB,5,40.5,TE,40.5,40.5,55.0
Cole Kmet,CHI,11,38.9,TE,38.9,38.9,50.9
Jason Witten,LV,6,36.5,TE,36.5,36.5,50.6
